library	sample	base	mean	median	lower_quartile	upper_quartile	10th_percentile	90th_percentile
lib1	111_trimmed_filt_merged.2	50-54	34.824845048601006	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.2	55-59	34.66306749537161	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.2	60-64	34.51168833108918	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.2	65-69	34.31538485150371	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.2	70-74	34.157167395212795	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.2	75-79	33.9346380697854	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.2	80-84	33.772513123832525	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.2	85-89	33.62806750734813	37.0	37.0	37.0	25.0	37.0
lib1	111_trimmed_filt_merged.2	90-94	33.44505106092665	37.0	37.0	37.0	19.4	37.0
lib1	111_trimmed_filt_merged.2	95-99	33.261470057130246	37.0	37.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.2	100-104	33.04092880932653	37.0	37.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.2	105-109	32.87675193167132	37.0	37.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.2	110-114	32.638475729729905	37.0	37.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.2	115-119	32.333102242153096	37.0	37.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.2	120-124	32.07631035904451	37.0	37.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.2	125-129	31.829823587321634	37.0	25.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.2	130-134	31.644980211653735	37.0	25.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.2	135-139	31.378711179355758	37.0	25.0	37.0	11.0	37.0
lib1	111_trimmed_filt_merged.2	140-141	31.16131471914821	37.0	25.0	37.0	11.0	37.0
