id,born,site,id_short,sitename,lifespan,succ.years,strategy,leks,LMS,age,year,on.lek,lekking,tenureyear,surv,leksize,density,tarsus,wing,mass,lyre,blue,eyec,attend,fight,dist,MS,mean_ig_post,mean_ig_pre,mean_ig,mean_caro_post,mean_caro_pre,mean_caro,smlh,froh1,spots_feather,spots_tip,mean_hct_post,mean_hct_pre,mean_hct,mean_rbc_area_post,mean_rbc_area_pre,mean_rbc_width_post,mean_rbc_width_pre,mean_rbc_length_post,mean_rbc_length_pre,mean_rbc_area,mean_rbc_length,mean_rbc_width,mean_microf_post,mean_microf_pre,mean_leuco_post,mean_leuco_pre,mean_trypa_post,mean_trypa_pre,mean_microf,mean_leuco,mean_trypa
D243906,2007,LEH,D906,Lehtusuo,1,0,SLUS,1,0,1,2008,1,1,1,0,15,14.6,61.3,268,1130,180,NA,1.42,0.84,0.17,18,0,NA,636368,636368,NA,NA,NA,0.989485367950437,0.162968407506567,0,0,NA,0.5372,0.5372,NA,66.8966,NA,6.9009,NA,12.349,66.8966,12.349,6.9009,NA,NA,NA,NA,NA,NA,NA,NA,NA
D243907,2007,LEH,D907,Lehtusuo,1,0,SLUS,1,0,1,2008,1,1,1,0,15,14.6,59.1,255,1180,180,0.228,0.48,0.51,0.11,32.97,0,NA,816202,816202,NA,NA,NA,0.999990144120532,0.156880593504632,0,0,NA,0.516,0.516,NA,69.8915,NA,6.8093,NA,13.0753,69.8915,13.0753,6.8093,NA,NA,NA,NA,NA,NA,NA,NA,NA
D243916,2007,NYR,D916,Nyrölä,2,0,LLUS,1,0,1,2008,0,0,NA,1,25,14.6,59.6,267,1220,200,0.246,2.75,0,NA,NA,0,NA,616312,616312,NA,NA,NA,0.992793412639121,0.191287558225494,9,0,NA,0.536,0.536,NA,70.5013,NA,7.7087,NA,11.6506,70.5013,11.6506,7.7087,NA,NA,NA,NA,NA,NA,NA,NA,NA
D243916,2007,NYR,D916,Nyrölä,2,0,LLUS,1,0,2,2009,1,1,1,0,15,10.5,59,271,1290,219,0.262,2.5,0.95,0.16,14.87,0,NA,723565,723565,NA,5.39716707519186,5.39716707519186,0.992793412639121,0.191287558225494,0,0,NA,0.5509,0.5509,NA,84.6507,NA,8.1268,NA,13.2691,84.6507,13.2691,8.1268,NA,2.5,NA,2.5,NA,NA,2.5,2.5,NA
D243918,2007,NYR,D918,Nyrölä,1,0,SLUS,1,0,1,2008,1,1,1,0,25,14.6,58.2,260,1180,202,0.215,2.62,0.38,0.12,16.12,0,NA,454662,454662,NA,NA,NA,0.971761550061815,0.203080837353756,7,0,NA,0.4764,0.4764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D243930,2007,KUM,D930,Kummunsuo,6,0,LLUS,4,0,1,2008,0,0,NA,1,38,14.6,58.2,260,1100,187,0.268,2.39,0,NA,NA,0,NA,792641,792641,NA,NA,NA,0.99269949149265,0.166802019078086,4,0,NA,0.5405,0.5405,NA,74.8262,NA,7.4279,NA,12.8327,74.8262,12.8327,7.4279,NA,NA,NA,NA,NA,NA,NA,NA,NA
D243930,2007,KUM,D930,Kummunsuo,6,0,LLUS,4,0,2,2009,1,1,1,1,21,10.5,59.6,261,1180,210,0.22,3.78,0.93,0.33,18.97,0,NA,937948,937948,NA,5.3947090340044,5.3947090340044,0.99269949149265,0.166802019078086,0,4,NA,0.5053,0.5053,NA,85.4982,NA,7.8501,NA,13.8744,85.4982,13.8744,7.8501,NA,65,NA,NA,NA,NA,65,NA,NA
D243930,2007,KUM,D930,Kummunsuo,6,0,LLUS,4,0,3,2010,1,1,2,1,18,8.9,58.6,267,1190,213,0.232,3.95,0.93,0.3,22.01,0,NA,1436526,1436526,NA,NA,NA,0.99269949149265,0.166802019078086,0,8,NA,0.5419,0.5419,NA,74.0277,NA,7.2661,NA,12.9785,74.0277,12.9785,7.2661,NA,140,NA,NA,NA,NA,140,NA,NA
D243930,2007,KUM,D930,Kummunsuo,6,0,LLUS,4,0,4,2011,1,1,3,1,30,8.9,58.6,267,1230,211,0.239,3.88,0.67,0.11,36.51,0,NA,NA,NA,NA,NA,NA,0.99269949149265,0.166802019078086,0,11,NA,0.4911,0.4911,NA,76.8248,NA,7.7055,NA,12.7008,76.8248,12.7008,7.7055,NA,150,NA,0,NA,2.5,150,0,2.5
D243930,2007,KUM,D930,Kummunsuo,6,0,LLUS,4,0,5,2012,0,0,4,1,35,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.99269949149265,0.166802019078086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D243930,2007,KUM,D930,Kummunsuo,6,0,LLUS,4,0,6,2013,1,1,5,0,26,13,58.9,264,1270,195,NA,4.42,0.97,0.1,NA,0,NA,NA,NA,NA,NA,NA,0.99269949149265,0.166802019078086,0,13,NA,0.5687,0.5687,NA,68.6482,NA,6.5149,NA,13.4231,68.6482,13.4231,6.5149,NA,NA,NA,0,NA,NA,NA,0,NA
D243937,2007,KUM,D937,Kummunsuo,3,0,LLUS,2,0,1,2008,1,0,NA,1,38,14.6,58.4,268,1140,205,0.221,2.4,0.04,NA,NA,0,NA,874264,874264,NA,NA,NA,0.983385694155292,0.177022847380635,3,0,NA,0.5634,0.5634,NA,77.7715,NA,8.168,NA,12.1293,77.7715,12.1293,8.168,NA,NA,NA,NA,NA,NA,NA,NA,NA
D243937,2007,KUM,D937,Kummunsuo,3,0,LLUS,2,0,2,2009,1,1,1,1,21,10.5,59.9,265,1210,230,0.198,3.79,0.93,0.49,14.76,0,NA,865477,865477,NA,7.70850411136164,7.70850411136164,0.983385694155292,0.177022847380635,0,0,NA,0.5069,0.5069,NA,76.4225,NA,8.1974,NA,11.8761,76.4225,11.8761,8.1974,NA,23.5,NA,NA,NA,NA,23.5,NA,NA
D243937,2007,KUM,D937,Kummunsuo,3,0,LLUS,2,0,3,2010,1,1,2,0,18,8.9,NA,NA,NA,NA,NA,NA,1,0.41,6.08,0,NA,NA,NA,NA,NA,NA,0.983385694155292,0.177022847380635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D243940,2007,KUM,D940,Kummunsuo,1,0,SLUS,1,0,1,2008,1,1,1,0,38,14.6,58.8,267,1250,NA,0.244,2.28,0.31,0,28.02,0,NA,646438,646438,NA,NA,NA,1.02311673921252,0.14526009528214,0,0,NA,0.5371,0.5371,NA,75.5153,NA,7.1585,NA,13.4382,75.5153,13.4382,7.1585,NA,NA,NA,NA,NA,NA,NA,NA,NA
D243950,2007,LEH,D950,Lehtusuo,2,1,LLS,2,6,1,2008,1,1,1,1,15,14.6,61.1,271,1270,196,0.213,1.81,0.93,0.39,20.1,0,NA,628030,628030,NA,NA,NA,1.000217219513,0.141261027556997,7,0,NA,0.5216,0.5216,NA,71.8102,NA,7.6001,NA,12.0364,71.8102,12.0364,7.6001,NA,NA,NA,NA,NA,NA,NA,NA,NA
