id,born,site,id_short,sitename,lifespan,succ.years,strategy,leks,LMS,age,year,on.lek,lekking,tenureyear,surv,leksize,density,tarsus,wing,mass,lyre,blue,eyec,attend,fight,dist,MS,mean_ig_post,mean_ig_pre,mean_ig,mean_caro_post,mean_caro_pre,mean_caro,smlh,froh1,spots_feather,spots_tip,mean_hct_post,mean_hct_pre,mean_hct,mean_rbc_area_post,mean_rbc_area_pre,mean_rbc_width_post,mean_rbc_width_pre,mean_rbc_length_post,mean_rbc_length_pre,mean_rbc_area,mean_rbc_length,mean_rbc_width,mean_microf_post,mean_microf_pre,mean_leuco_post,mean_leuco_pre,mean_trypa_post,mean_trypa_pre,mean_microf,mean_leuco,mean_trypa
D211334,2000,LEH,D334,Lehtusuo,6,NA,NA,NA,NA,6,2006,1,1,NA,NA,NA,10.4,59.5,280,1330,212,0.266,NA,0.97,NA,16.28,1,2225951,2603110,2414530.5,8.74336387028347,NA,8.74336387028347,1.01170241862839,0.149146883996617,NA,NA,0.4856,0.514,0.4998,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,42.5,0,0.5,19.5,0,126.25,0.25,9.75
D211341,2001,KUM,D341,Kummunsuo,3,1,LLS,2,3,1,2002,1,0,NA,1,31,6.2,63,262,1190,182,0.253,NA,0.08,NA,NA,0,1091214,1952957.5,1665709.66666667,NA,NA,NA,0.997498779363255,0.153777756403185,NA,NA,0.5574,0.55065,0.5529,NA,78.392,NA,7.1576,NA,13.315,78.392,13.315,7.1576,14,25.75,NA,0,NA,0,19.875,0,0
D211341,2001,KUM,D341,Kummunsuo,3,1,LLS,2,3,2,2003,1,1,1,1,24,7.4,60.3,270,1260,224,0.248,2.1,0.96,0.42,17.36,3,NA,871684,871684,NA,NA,NA,0.997498779363255,0.153777756403185,NA,NA,NA,0.499875396825397,0.499875396825397,NA,75.9341,NA,7.188,NA,13.2457,75.9341,13.2457,7.188,NA,140,NA,0,NA,0,140,0,0
D211341,2001,KUM,D341,Kummunsuo,3,1,LLS,2,3,3,2004,1,1,2,0,16,7,60.1,270,1240,228,0.266,1.79,0.49,0.32,32.42,0,NA,8477313,8477313,NA,NA,NA,0.997498779363255,0.153777756403185,0,0,NA,0.5213,0.5213,NA,86.1293,NA,8.3585,NA,12.4738,86.1293,12.4738,8.3585,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211349,2001,NYR,D349,Nyrölä,3,1,LLS,3,8,1,2002,1,1,1,1,16,6.2,60.4,265,1170,202,NA,NA,0.82,0.03,19.87,0,1276704,2613895,1945299.5,NA,NA,NA,1.02292924290469,0.148995156276629,NA,NA,0.4828,0.52705,0.504925,NA,73.861,NA,7.3288,NA,12.6229,73.861,12.6229,7.3288,25,10.5,1,NA,NA,1,17.75,1,1
D211349,2001,NYR,D349,Nyrölä,3,1,LLS,3,8,2,2003,1,1,2,1,13,7.4,60.2,278,1270,229,0.266,3.41,0.99,0.38,13.39,0,NA,971426.5,971426.5,NA,NA,NA,1.02292924290469,0.148995156276629,NA,NA,NA,0.500945230800395,0.500945230800395,NA,71.4254,NA,7.733,NA,11.6463,71.4254,11.6463,7.733,NA,51.875,NA,0,NA,0.25,51.875,0,0.25
D211349,2001,NYR,D349,Nyrölä,3,1,LLS,3,8,3,2004,1,1,3,0,13,7,61.5,275,1240,228,0.274,3.06,1,0.42,2,8,2131772,2769433,2450602.5,NA,NA,NA,1.02292924290469,0.148995156276629,0,2,NA,0.4516,0.4516,NA,63.5318,NA,7.2713,NA,10.8138,63.5318,10.8138,7.2713,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211350,2001,NYR,D350,Nyrölä,1,0,SLUS,1,0,1,2002,1,1,1,0,16,6.2,57.9,256,1140,195,NA,4.15,0.88,0.2,21.45,0,1477809,1557846.66666667,1537837.25,NA,NA,NA,1.00223866822353,0.141299772269612,NA,NA,0.5219,0.533966666666667,0.53095,NA,69.0202,NA,7.3588,NA,11.9017,69.0202,11.9017,7.3588,50,0,2,0,NA,0,25,1,0
D211374,2001,KUM,D374,Kummunsuo,4,1,LLS,2,2,1,2002,1,0,NA,1,31,6.2,57.3,256,1145,195,0.27,NA,0.25,NA,NA,0,1775681,2312119.5,2133306.66666667,NA,NA,NA,0.996402236030439,0.152141789540886,NA,NA,0.5289,0.52745,0.527933333333333,NA,64.8014,NA,6.5381,NA,12.283,64.8014,12.283,6.5381,8.5,3.25,NA,NA,NA,NA,5.875,NA,NA
D211374,2001,KUM,D374,Kummunsuo,4,1,LLS,2,2,2,2003,1,1,1,1,24,7.4,57.6,273,1220,233,0.2724,2.88,0.94,0.41,22.76,0,NA,543731,543731,NA,NA,NA,0.996402236030439,0.152141789540886,NA,NA,NA,0.511614516129032,0.511614516129032,NA,56.051,NA,6.0476,NA,11.1547,56.051,11.1547,6.0476,NA,60,NA,0,NA,0,60,0,0
D211374,2001,KUM,D374,Kummunsuo,4,1,LLS,2,2,3,2004,1,1,2,1,16,7,61.9,260,1290,229,0.278,3.41,0.84,0.26,12.35,2,NA,2174206,2174206,NA,NA,NA,0.996402236030439,0.152141789540886,8,0,NA,0.5055,0.5055,NA,91.8548,NA,8.0488,NA,14.5546,91.8548,14.5546,8.0488,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211374,2001,KUM,D374,Kummunsuo,4,1,LLS,2,2,4,2005,1,0,NA,0,16,7.1,NA,NA,NA,NA,NA,NA,0.1,NA,NA,0,NA,NA,NA,NA,NA,NA,0.996402236030439,0.152141789540886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211376,2001,KUM,D376,Kummunsuo,5,1,LLS,4,5,1,2002,1,1,1,1,31,6.2,57.7,264,1135,200,NA,NA,0.33,0.08,30.38,0,NA,1240078,1240078,NA,NA,NA,0.985686405683749,0.15652476947237,NA,NA,NA,0.50505,0.50505,NA,62.6748,NA,6.9994,NA,10.7304,62.6748,10.7304,6.9994,NA,11.75,NA,NA,NA,NA,11.75,NA,NA
D211376,2001,KUM,D376,Kummunsuo,5,1,LLS,4,5,2,2003,1,1,2,1,24,7.4,57.7,272,1210,243,0.273,3.49,0.62,0.38,30.68,0,NA,736808,736808,NA,NA,NA,0.985686405683749,0.15652476947237,NA,NA,NA,0.4834,0.4834,NA,78.3599,NA,7.5607,NA,12.948,78.3599,12.948,7.5607,NA,150,NA,0,NA,0,150,0,0
D211376,2001,KUM,D376,Kummunsuo,5,1,LLS,4,5,3,2004,1,1,3,1,16,7,59.5,272,1250,238,0.284,3.72,0.81,0.41,26.2,5,NA,4305002,4305002,NA,NA,NA,0.985686405683749,0.15652476947237,8,5,NA,0.4769,0.4769,NA,60.1005,NA,6.4264,NA,11.9839,60.1005,11.9839,6.4264,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211376,2001,KUM,D376,Kummunsuo,5,1,LLS,4,5,4,2005,0,0,4,1,16,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.985686405683749,0.15652476947237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211376,2001,KUM,D376,Kummunsuo,5,1,LLS,4,5,5,2006,1,1,5,0,23,10.4,NA,NA,NA,NA,NA,NA,0.36,0.23,37.44,0,NA,NA,NA,NA,NA,NA,0.985686405683749,0.15652476947237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211385,2001,KUM,D385,Kummunsuo,4,0,LLUS,3,0,1,2002,1,1,1,1,31,6.2,56.8,265,1180,181,0.229,3.78,0.33,0,26.57,0,1141148,1510872.5,1387631,NA,NA,NA,1.02117177372395,0.139398832797161,NA,NA,0.4927,0.516425,0.508516666666667,NA,70.0535,NA,7.5167,NA,11.4606,70.0535,11.4606,7.5167,17.5,7.5,NA,NA,NA,NA,12.5,NA,NA
D211385,2001,KUM,D385,Kummunsuo,4,0,LLUS,3,0,2,2003,1,1,2,1,24,7.4,57.7,273,1210,206,0.265,2.96,0.49,0.39,26.43,0,NA,648664,648664,NA,NA,NA,1.02117177372395,0.139398832797161,NA,NA,NA,0.48322037037037,0.48322037037037,NA,69.8785,NA,7.318,NA,11.7742,69.8785,11.7742,7.318,NA,89,NA,0,NA,0,89,0,0
D211385,2001,KUM,D385,Kummunsuo,4,0,LLUS,3,0,3,2004,0,0,3,1,16,7,59.5,269,1230,202,0.268,3.3,NA,NA,NA,0,NA,1565496,1565496,NA,NA,NA,1.02117177372395,0.139398832797161,4,0,NA,0.4923,0.4923,NA,92.7175,NA,9.0202,NA,12.514,92.7175,12.514,9.0202,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211385,2001,KUM,D385,Kummunsuo,4,0,LLUS,3,0,4,2005,1,1,4,0,16,7.1,59.2,268,1260,211,0.234,4.13,0.87,0.41,10.05,0,NA,1374485,1374485,NA,17.8901286299244,17.8901286299244,1.02117177372395,0.139398832797161,7,0,NA,0.5108,0.5108,NA,58.6092,NA,6.9387,NA,10.782,58.6092,10.782,6.9387,NA,57.5,NA,0,NA,0,57.5,0,0
D211401,2002,KUM,D401,Kummunsuo,1,0,SLUS,1,0,1,2003,1,1,1,0,24,7.4,58.2,272,1180,189,0.238,1.72,0.53,0.08,23.22,0,689406,967557,874840,NA,NA,NA,0.987272032701321,0.163216621609566,NA,NA,NA,0.516138279863342,0.516138279863342,NA,67.6608,NA,6.9307,NA,12.7192,67.6608,12.7192,6.9307,NA,43.75,NA,1,NA,0,43.75,1,0
D211403,2002,KUM,D403,Kummunsuo,1,0,SLUS,1,0,1,2003,1,1,1,0,24,7.4,58.5,261,1220,184,0.237,2.35,0.83,0.41,22.97,0,581928,938296,819506.666666667,NA,NA,NA,1.02257068228276,0.148585410278869,NA,NA,0.5554,0.536971209641422,0.543114139760948,NA,78.7376,NA,7.6521,NA,13.0036,78.7376,13.0036,7.6521,50,11.5,0,0,0,0,30.75,0,0
D211411,2002,NYR,D411,Nyrölä,2,1,LLS,2,1,1,2003,1,1,1,1,13,7.4,59.8,263,1150,180,0.262,1.65,0.45,0.26,39.21,0,NA,745614,745614,NA,NA,NA,0.998333001361489,0.148572854841158,NA,NA,NA,0.52718364436913,0.52718364436913,NA,69.9711,NA,6.7591,NA,12.1616,69.9711,12.1616,6.7591,NA,5.5,NA,0,NA,0,5.5,0,0
D211411,2002,NYR,D411,Nyrölä,2,1,LLS,2,1,2,2004,1,1,2,0,13,7,59.9,274,1310,206,0.27,2.25,0.92,0.4,13.46,1,1927234.5,1988098,1947522.33333333,NA,NA,NA,0.998333001361489,0.148572854841158,8,0,NA,0.536,0.536,NA,83.314,NA,6.91,NA,13.6466,83.314,13.6466,6.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211412,2002,NYR,D412,Nyrölä,1,0,SLUS,1,0,1,2003,1,1,1,0,13,7.4,59.2,258,1140,178,0.218,2.26,0.95,0.04,23.49,0,NA,516394,516394,NA,NA,NA,0.991717153644697,0.159427437507664,NA,NA,NA,0.50927244036016,0.50927244036016,NA,65.8128,NA,7.1385,NA,11.6636,65.8128,11.6636,7.1385,NA,0.833333333333333,NA,0,NA,0,0.833333333333333,0,0
D211431,2002,NYR,D431,Nyrölä,3,1,LLS,1,5,1,2003,1,0,NA,1,13,7.4,60.9,264,1110,181,0.277,1.38,0.12,NA,NA,0,476642,453506,461218,NA,NA,NA,0.994158088535637,0.165724439102151,NA,NA,0.5701,0.563352389078498,0.565601592718999,NA,55.4788,NA,6.5736,NA,10.2797,55.4788,10.2797,6.5736,45,5.5,0,0,2,0,25.25,0,1
D211431,2002,NYR,D431,Nyrölä,3,1,LLS,1,5,2,2004,0,0,NA,1,13,7,59.5,272,1230,222,0.264,2.45,NA,NA,NA,0,1028449,895508,961978.5,NA,NA,NA,0.994158088535637,0.165724439102151,0,0,NA,0.5682,0.5682,NA,81.2911,NA,7.8504,NA,13.0579,81.2911,13.0579,7.8504,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211431,2002,NYR,D431,Nyrölä,3,1,LLS,1,5,3,2005,1,1,1,0,15,7.1,58.7,271,1270,227,0.272,4.86,0.93,0.37,2,5,664806,493549,579177.5,5.47428347170808,16.8088750892783,11.1415792804932,0.994158088535637,0.165724439102151,0,0,NA,0.5361,0.5361,NA,72.2913,NA,7.5994,NA,11.6932,72.2913,11.6932,7.5994,162.5,82.5,1,0,24,0.5,122.5,0.5,12.25
D211435,2002,KUM,D435,Kummunsuo,3,0,LLUS,2,0,1,2003,1,0,NA,1,24,7.4,60.1,269,1170,181,0.237,1.19,0.09,NA,NA,0,NA,NA,NA,NA,NA,NA,0.986844907515946,0.176362687663578,NA,NA,NA,0.5102,0.5102,NA,75.6786,NA,7.08,NA,13.0792,75.6786,13.0792,7.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211435,2002,KUM,D435,Kummunsuo,3,0,LLUS,2,0,2,2004,1,1,1,1,16,7,NA,NA,NA,NA,NA,NA,0.75,0.02,36.06,0,NA,NA,NA,NA,NA,NA,0.986844907515946,0.176362687663578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211435,2002,KUM,D435,Kummunsuo,3,0,LLUS,2,0,3,2005,1,1,2,1,16,7.1,60.1,277,1250,212,0.267,4.13,0.42,0,26.17,0,NA,1030217,1030217,NA,19.0351433855237,19.0351433855237,0.986844907515946,0.176362687663578,0,0,NA,0.5017,0.5017,NA,79.8415,NA,7.6677,NA,12.4583,79.8415,12.4583,7.6677,NA,37,NA,3,NA,0,37,3,0
D211438,2002,KUM,D438,Kummunsuo,4,1,LLS,2,1,1,2003,1,0,NA,1,24,7.4,59,263,1120,205,0.24,1.42,0.02,NA,NA,0,NA,752128.5,752128.5,NA,NA,NA,1.00424103948476,0.145064342376369,NA,NA,NA,0.568182397572079,0.568182397572079,NA,73.6287,NA,7.6341,NA,12.001,73.6287,12.001,7.6341,NA,15,NA,0,NA,0,15,0,0
D211438,2002,KUM,D438,Kummunsuo,4,1,LLS,2,1,2,2004,1,1,1,1,16,7,58.4,262,1220,221,0.273,3.36,0.87,0.17,30.87,1,1410179,1700234,1555206.5,NA,NA,NA,1.00424103948476,0.145064342376369,0,0,NA,0.5431,0.5431,NA,96.2119,NA,8.3517,NA,13.87,96.2119,13.87,8.3517,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211438,2002,KUM,D438,Kummunsuo,4,1,LLS,2,1,3,2005,1,1,2,1,16,7.1,57.9,259,1270,219,0.235,3.88,0.81,0.16,17.03,0,NA,1372231,1372231,NA,24.3832863864292,24.3832863864292,1.00424103948476,0.145064342376369,3,0,NA,0.5342,0.5342,NA,57.0649,NA,7.0808,NA,10.5821,57.0649,10.5821,7.0808,NA,202.5,NA,0,NA,0,202.5,0,0
D211438,2002,KUM,D438,Kummunsuo,4,1,LLS,2,1,4,2006,1,0,NA,0,23,10.4,60.2,267,1240,220,0.228,5.31,0.03,NA,NA,0,NA,NA,NA,NA,NA,NA,1.00424103948476,0.145064342376369,4,0,NA,0.534929435483871,0.534929435483871,NA,69.975,NA,7.0529,NA,12.7211,69.975,12.7211,7.0529,NA,235,NA,0,NA,0,235,0,0
D211445,2001,TEE,D445,Teerisuo,5,NA,NA,NA,NA,2,2003,1,1,NA,NA,NA,7.4,59.3,265,1290,232,0.257,4.49,0.94,0.3,8.16,6,NA,NA,NA,NA,NA,NA,0.974302849452056,0.169839179360978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211445,2001,TEE,D445,Teerisuo,5,NA,NA,NA,NA,3,2004,1,1,NA,NA,NA,7,58.8,265,1350,232,NA,6.72,0.94,0.22,13.93,3,NA,NA,NA,NA,NA,NA,0.974302849452056,0.169839179360978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211445,2001,TEE,D445,Teerisuo,5,NA,NA,NA,NA,4,2005,1,1,NA,NA,NA,7.1,58.7,273,1270,232,0.277,4.41,0.99,0.24,11.18,11,478457,1111240,794848.5,10.00009888138,21.7611818084766,15.8806403449283,0.974302849452056,0.169839179360978,NA,NA,NA,0.4999,0.4999,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,21.5,0.5,1,74.5,0,70.75,0.75,37.25
D211445,2001,TEE,D445,Teerisuo,5,NA,NA,NA,NA,5,2006,1,0,NA,NA,NA,10.4,63,263,1315,232,0.27,5.89,0.93,0.16,21.54,1,NA,NA,NA,NA,NA,NA,0.974302849452056,0.169839179360978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211450,2002,KUM,D450,Kummunsuo,2,0,LLUS,2,0,1,2003,1,1,1,1,24,7.4,59.5,263,1180,191,0.233,1.89,0.36,0,33.17,0,NA,721979.5,721979.5,NA,NA,NA,0.995100984722887,0.167639094063462,NA,NA,NA,0.511773024054983,0.511773024054983,NA,70.5292,NA,7.3748,NA,12.1383,70.5292,12.1383,7.3748,NA,30,NA,0.5,NA,0,30,0.5,0
D211450,2002,KUM,D450,Kummunsuo,2,0,LLUS,2,0,2,2004,1,1,2,0,16,7,58.8,271,1220,220,0.271,2.61,0.81,0.54,22.14,0,NA,1588812,1588812,NA,NA,NA,0.995100984722887,0.167639094063462,0,0,NA,0.5117,0.5117,NA,70.2011,NA,7.3304,NA,11.9087,70.2011,11.9087,7.3304,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211451,2001,TEE,D451,Teerisuo,2,0,LLUS,1,0,1,2002,0,0,NA,1,8,6.2,62.6,266,1280,204,NA,5,0,NA,NA,0,896666,1052905.33333333,1013845.5,NA,NA,NA,0.989123832726366,0.148634995744151,NA,NA,NA,0.511116666666667,0.511116666666667,NA,71.0842,NA,6.6383,NA,12.8949,71.0842,12.8949,6.6383,NA,24,NA,0,NA,0,24,0,0
D211451,2001,TEE,D451,Teerisuo,2,0,LLUS,1,0,2,2003,1,1,1,0,8,7.4,60.3,269,1350,210,0.262,4.33,0.93,0.07,27.27,0,815761,1224309.33333333,1122172.25,NA,NA,NA,0.989123832726366,0.148634995744151,6,0,0.5037,0.497966666666667,0.4994,NA,60.3348,NA,6.8907,NA,10.8202,60.3348,10.8202,6.8907,80,51,0,0,0,0,65.5,0,0
D211456,2001,KUM,D456,Kummunsuo,2,1,LLS,2,3,1,2002,1,1,1,1,31,6.2,59.6,263,1150,179,0.268,3.19,0.78,0,24.89,0,2924650,1653774.5,2289212.25,NA,NA,NA,0.983279347983563,0.183871120217273,NA,NA,0.5344,0.51505,0.524725,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.75,25.5,NA,NA,4,NA,39.625,NA,4
D211456,2001,KUM,D456,Kummunsuo,2,1,LLS,2,3,2,2003,1,1,2,0,24,7.4,60.3,274,1300,204,0.266,3.68,0.87,0.24,19.44,3,1050806,788326,919566,NA,NA,NA,0.983279347983563,0.183871120217273,NA,NA,0.5154,0.53003003003003,0.522715015015015,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,120,1,0,1,2,135,0.5,1.5
D211461,2001,NYR,D461,Nyrölä,2,1,LLS,1,1,1,2002,0,0,NA,1,16,6.2,59,260,1220,194,0.275,5.07,0,NA,NA,0,NA,627885.5,627885.5,NA,NA,NA,0.990934157819658,0.159912477297363,NA,NA,NA,0.51205,0.51205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,0.5,NA,NA
D211461,2001,NYR,D461,Nyrölä,2,1,LLS,1,1,2,2003,1,1,1,0,13,7.4,59,270,1240,215,0.287,3.95,0.6,0.24,19.65,1,430383,519178.5,501419.4,NA,NA,NA,0.990934157819658,0.159912477297363,4,3,0.5095,0.499525,0.50152,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,14.375,0,0,6,0,29.6875,0,3
D211474,2002,KUM,D474,Kummunsuo,4,0,LLUS,4,0,1,2003,1,1,1,1,24,7.4,59.5,272,1260,188,0.258,2.15,0.55,0.31,28.13,0,344278,484899,414588.5,NA,NA,NA,1.00253284528012,0.140283971738673,NA,NA,0.5379,0.546761751827118,0.542330875913559,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,10,0,0,0,0,30,0,0
D211474,2002,KUM,D474,Kummunsuo,4,0,LLUS,4,0,2,2004,1,1,2,1,16,7,60.1,275,1340,214,0.253,5.02,0.93,0.47,11.4,0,NA,2296654.5,2296654.5,NA,NA,NA,1.00253284528012,0.140283971738673,9,0,NA,0.5086,0.5086,NA,83.1442,NA,8.995,NA,11.775,83.1442,11.775,8.995,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211474,2002,KUM,D474,Kummunsuo,4,0,LLUS,4,0,3,2005,1,1,3,1,16,7.1,60.6,270,1320,212,0.223,6.53,0.74,0.39,18,0,NA,1339521,1339521,NA,15.014815341341,15.014815341341,1.00253284528012,0.140283971738673,10,5,NA,0.5344,0.5344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,0.5,NA,0,105,0.5,0
D211474,2002,KUM,D474,Kummunsuo,4,0,LLUS,4,0,4,2006,1,1,4,0,23,10.4,60.9,268,1380,213,0.25,6.17,0.78,0.29,16.28,0,NA,2556814,2556814,NA,NA,NA,1.00253284528012,0.140283971738673,11,3,NA,0.507239057239057,0.507239057239057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,0.5,NA,0,140,0.5,0
D211478,2001,KUM,D478,Kummunsuo,3,1,LLS,3,2,1,2002,1,1,1,1,31,6.2,61.9,265,1300,192,0.27,3.98,0.33,0.08,29.39,0,716779,1047610,882194.5,NA,NA,NA,0.991342739507477,0.151809233246987,NA,NA,0.5329,0.5385,0.5357,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,4,NA,NA,NA,NA,5.25,NA,NA
D211478,2001,KUM,D478,Kummunsuo,3,1,LLS,3,2,2,2003,1,1,2,1,24,7.4,60.3,276,1360,225,0.288,6.71,0.91,0.23,19.94,0,NA,535856,535856,NA,NA,NA,0.991342739507477,0.151809233246987,NA,NA,NA,0.515842877235282,0.515842877235282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,0.5,NA,1,75,0.5,1
D211478,2001,KUM,D478,Kummunsuo,3,1,LLS,3,2,3,2004,1,1,3,0,16,7,59.2,267,1320,227,0.272,5.33,0.86,0.51,15.65,2,1095836,1581174,1338505,NA,NA,NA,0.991342739507477,0.151809233246987,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211482,2001,KUM,D482,Kummunsuo,2,0,LLUS,2,0,1,2002,1,1,1,1,31,6.2,56.4,257,1100,190,0.26,3.4,0.89,0.16,18.34,0,1485608,1653083,1597258,NA,NA,NA,0.997312747826366,0.150066193165785,NA,NA,0.5205,0.5135,0.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,25,NA,NA,1.5,NA,27.5,NA,1.5
D211482,2001,KUM,D482,Kummunsuo,2,0,LLUS,2,0,2,2003,1,1,2,0,24,7.4,57.6,266,1320,216,0.243,1.88,0.96,0.6,7.99,0,491923,684813,588368,NA,NA,NA,0.997312747826366,0.150066193165785,NA,NA,0.5054,0.5143,0.50985,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,70,1,1,5,0,50,1,2.5
D211489,2002,LEH,D489,Lehtusuo,3,NA,NA,NA,NA,1,2003,1,0,NA,NA,NA,7.4,58.5,265,1110,187,0.263,3.54,0.08,NA,NA,0,NA,NA,NA,NA,NA,NA,0.985332905942997,0.173947031007061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211489,2002,LEH,D489,Lehtusuo,3,NA,NA,NA,NA,2,2004,1,0,NA,NA,NA,7,59.9,278,1250,222,0.248,1.53,0.13,0,NA,0,NA,NA,NA,NA,NA,NA,0.985332905942997,0.173947031007061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D211489,2002,LEH,D489,Lehtusuo,3,NA,NA,NA,NA,3,2005,0,0,NA,NA,NA,7.1,58.1,283,1300,227,0.267,3.04,0,NA,NA,0,NA,455007,455007,NA,30.1058218835903,30.1058218835903,0.985332905942997,0.173947031007061,NA,NA,NA,0.5474,0.5474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,0.5,NA,0.5,37,0.5,0.5
D211490,2002,LEH,D490,Lehtusuo,2,1,LLS,1,4,1,2003,1,0,NA,1,3,7.4,59.5,264,1170,193,0.256,0.77,0.08,NA,NA,0,NA,555939.5,555939.5,NA,NA,NA,0.997773647030351,0.144631013982596,NA,NA,NA,0.5368,0.5368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0
D211490,2002,LEH,D490,Lehtusuo,2,1,LLS,1,4,2,2004,1,1,1,0,5,7,62.6,275,1270,225,0.248,3.55,0.93,0.07,20.02,4,NA,675477,675477,NA,NA,NA,0.997773647030351,0.144631013982596,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D217810,2002,TEE,D810,Teerisuo,2,1,LLS,1,3,1,2003,1,0,NA,1,8,7.4,61.8,271,1160,180,0.258,1.4,0.02,NA,NA,0,NA,NA,NA,NA,NA,NA,1.00253958253035,0.147894368307455,NA,NA,NA,0.4892,0.4892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D217810,2002,TEE,D810,Teerisuo,2,1,LLS,1,3,2,2004,1,1,1,0,10,7,61.5,277,1290,247,0.23,3.13,1,0.3,9.22,3,NA,603479,603479,NA,NA,NA,1.00253958253035,0.147894368307455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D217818,2002,KUM,D818,Kummunsuo,4,0,LLUS,2,0,1,2003,0,0,NA,1,24,7.4,59.1,264,1250,184,0.262,2.13,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0.983081657371843,0.165616834151649,NA,NA,NA,0.5697,0.5697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA
D217818,2002,KUM,D818,Kummunsuo,4,0,LLUS,2,0,2,2004,1,1,1,1,16,7,59.2,270,1250,221,0.272,2.06,0.72,0.46,20.25,0,536696,505908,516170.666666667,NA,NA,NA,0.983081657371843,0.165616834151649,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D217818,2002,KUM,D818,Kummunsuo,4,0,LLUS,2,0,3,2005,1,1,2,1,16,7.1,NA,NA,NA,NA,NA,NA,0.68,0.52,18.97,0,NA,NA,NA,NA,NA,NA,0.983081657371843,0.165616834151649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D217818,2002,KUM,D818,Kummunsuo,4,0,LLUS,2,0,4,2006,1,0,NA,0,23,10.4,NA,NA,NA,NA,NA,NA,0.17,NA,NA,0,NA,NA,NA,NA,NA,NA,0.983081657371843,0.165616834151649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
