"","Sample","lib","aligned_reads","ambig_reads","discarded_reads","meth_chg","meth_chh","meth_cpg","no_alignments","percent_aligned","percent_chg_meth","percent_chh_meth","percent_cpg_meth","strand_ctob","strand_ctot","strand_directional","strand_ob","strand_ot","total_c","total_reads","unmeth_chg","unmeth_chh","unmeth_cpg","Filename","File type","Encoding","Total Sequences","Sequences flagged as poor quality","Sequence length","%GC","total_deduplicated_percentage","avg_sequence_length","median_sequence_length","basic_statistics","per_base_sequence_quality","per_tile_sequence_quality","per_sequence_quality_scores","per_base_sequence_content","per_sequence_gc_content","per_base_n_content","sequence_length_distribution","sequence_duplication_levels","overrepresented_sequences","adapter_content","sample_id"
"33","261","lib2",2397846,184422,1000,2774317,666152,9313903,2386957,48.2539228954213,7,1.1,24.8,0,0,"directional",1199206,1197640,138356857,4969225,36580592,60810747,28211146,"261_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",4969225,0,"20-141",38,33.1961993730124,100.847312609109,117,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib2_261"
"34","262","lib2",6642290,458378,3340,7828656,2423879,25659197,7377657,45.8774754676387,7,1.3,25.4,0,0,"directional",3333207,3305743,405716838,14478325,104075439,190541151,75188516,"262_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",14478325,0,"20-141",35,28.1036341352919,106.947705760162,117,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib2_262"
"35","326","lib2",878632,71467,383,1035298,337574,3441794,860412,48.529503548998,6.9,1.2,29.4,0,0,"directional",440885,437364,53806716,1810511,13894253,26837030,8260767,"326_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",1810511,0,"20-141",34,44.3421333919959,111.275162647451,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib2_326"
"36","327","lib2",1759678,128877,717,2043603,567917,6649392,1726021,48.6828330625777,7,1.1,26.3,0,0,"directional",881304,877657,105403783,3614576,27071530,50398393,18672948,"327_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3614576,0,"20-141",35,36.1084361594289,105.1227222778,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib2_327"
"37","359","lib2",2545974,209375,1228,2965243,870289,10196095,3093844,43.5269275607763,6.9,1.2,26.3,0,0,"directional",1278890,1265856,156168402,5849193,39838992,73764494,28533289,"359_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",5849193,0,"20-141",36,32.0543616945237,107.76055876426,127,"pass","pass","pass","pass","fail","fail","pass","warn","fail","fail","pass","lib2_359"
"38","360","lib2",3052003,265875,1430,3559741,1000860,12068195,3150032,47.1868501571605,7.4,1.2,28.3,0,0,"directional",1527327,1523246,173582515,6467910,44644551,81726282,30582886,"360_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",6467910,0,"20-141",36,33.8966473065146,98.569913619701,117,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib2_360"
"39","361","lib2",3328752,243264,1568,3886612,1127917,13509948,3459264,47.3420486739257,6.8,1.1,27.7,0,0,"directional",1665548,1661636,208279404,7031280,53584197,100890354,35280376,"361_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",7031280,0,"20-141",35,29.38190025695,110.757779949028,137,"pass","pass","pass","pass","fail","warn","pass","warn","fail","warn","pass","lib2_361"
"40","53","lib2",4769120,401230,2028,5577749,1727376,17729734,5257181,45.7358506054789,7.3,1.3,27,0,0,"directional",2394736,2372356,278852074,10427531,71134778,134833252,47849185,"53_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",10427531,0,"20-141",35,35.1933659703709,103.355732147907,132,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib2_53"
"41","54","lib2",5166864,320225,2046,6052844,1759671,21265998,4751707,50.4635896642535,7,1.1,29.7,0,0,"directional",2585251,2579567,313048025,10238796,80764583,152918890,50286039,"54_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",10238796,0,"20-141",35,29.3708198680041,105.944464173327,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib2_54"
"42","7","lib2",5271792,403360,1670,6130006,1846150,19147234,3896370,55.0778862546625,6.9,1.1,30.1,0,0,"directional",2641945,2628177,319147159,9571522,82691042,164879919,44452808,"7_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",9571522,0,"20-141",33,27.0134064759854,110.535886664629,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib2_7"
"43","8","lib2",2977129,276319,1276,3502671,1166250,11590422,3023246,47.4314822420848,7.1,1.3,29.8,0,0,"directional",1496823,1479030,180351128,6276694,45960100,90835813,27295872,"8_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",6276694,0,"20-141",34,29.4533211713975,108.93213831995,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","fail","pass","lib2_8"
"44","9","lib2",7757910,524275,3509,9077973,2635610,31972181,7085230,50.4828560951858,6.9,1.1,30.5,0,0,"directional",3873810,3880591,471164344,15367415,122270687,232486066,72721827,"9_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",15367415,0,"20-141",35,26.842240473672,106.273122252506,137,"pass","pass","pass","pass","fail","pass","pass","warn","fail","warn","pass","lib2_9"
"45","117","lib3",3638771,316234,1568,4191066,1032581,13461201,3373401,49.652966825255,7.4,1.1,26.5,0,0,"directional",1819006,1818197,201763132,7328406,52730934,93064866,37282484,"117_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",7328406,0,"20-141",36,31.2308572058779,97.9515126481802,117,"pass","pass","fail","pass","fail","pass","pass","warn","fail","warn","pass","lib3_117"
"46","118","lib3",438682,40428,197,513772,137692,1633300,398168,50.0049015249442,7.5,1.2,27.7,0,0,"directional",219806,218679,24474786,877278,6367981,11564712,4257329,"118_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",877278,0,"20-141",36,53.6457152441939,100.399677183287,117,"pass","pass","fail","pass","fail","warn","pass","warn","warn","fail","pass","lib3_118"
"47","190","lib3",2875416,220109,1647,3545535,1606054,12568039,3822228,41.5657511911744,7,1.8,28.9,0,0,"directional",1467198,1406571,185466585,6917753,46862084,89992983,30891890,"190_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",6917753,0,"20-141",35,28.7557311662078,112.849596538067,127,"pass","pass","warn","pass","fail","fail","pass","warn","fail","fail","pass","lib3_190"
